I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: compute02
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: compute02
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: 352.99.0
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:356] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  352.99  Mon Jul  4 23:52:14 PDT 2016
GCC version:  gcc version 4.8.5 20150623 (Red Hat 4.8.5-4) (GCC) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 352.99.0
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:293] kernel version seems to match DSO: 352.99.0
Running with stride 3 and seed 3000
(1, 228, 117660)
47
(181, 117660)
3520
(?, 600)
(?, 100)
started learning...
step 0, training (test) accuracy 0.0425532, cost 59985.6
step 0, training (test) accuracy 0.0425532, cost 38919.6
step 0, training (test) accuracy 0.0638298, cost 22760.4
step 0, training (test) accuracy 0.0212766, cost 18572.3
step 25, training (test) accuracy 0.446809, cost 269.115
step 25, training (test) accuracy 0.489362, cost 262.361
step 25, training (test) accuracy 0.510638, cost 260.319
step 25, training (test) accuracy 0.510638, cost 265.63
step 50, training (test) accuracy 0.531915, cost 145.474
step 50, training (test) accuracy 0.574468, cost 148.963
step 50, training (test) accuracy 0.595745, cost 150.317
step 50, training (test) accuracy 0.574468, cost 149.623
step 75, training (test) accuracy 0.617021, cost 101.741
step 75, training (test) accuracy 0.617021, cost 99.1448
step 75, training (test) accuracy 0.595745, cost 97.9301
step 75, training (test) accuracy 0.553191, cost 97.4265
step 100, training (test) accuracy 0.574468, cost 84.6392
step 100, training (test) accuracy 0.574468, cost 86.1909
step 100, training (test) accuracy 0.531915, cost 87.3796
step 100, training (test) accuracy 0.510638, cost 90.8467
step 125, training (test) accuracy 0.531915, cost 91.9708
step 125, training (test) accuracy 0.531915, cost 90.6381
step 125, training (test) accuracy 0.531915, cost 89.6135
step 125, training (test) accuracy 0.553191, cost 88.9234
step 150, training (test) accuracy 0.617021, cost 78.0811
step 150, training (test) accuracy 0.638298, cost 77.1688
step 150, training (test) accuracy 0.638298, cost 76.7221
step 150, training (test) accuracy 0.638298, cost 75.106
step 175, training (test) accuracy 0.638298, cost 72.5738
step 175, training (test) accuracy 0.659574, cost 70.088
step 175, training (test) accuracy 0.659574, cost 67.8414
step 175, training (test) accuracy 0.638298, cost 65.9869
step 200, training (test) accuracy 0.553191, cost 91.4732
step 200, training (test) accuracy 0.553191, cost 90.7895
step 200, training (test) accuracy 0.553191, cost 89.9685
step 200, training (test) accuracy 0.531915, cost 89.0463
step 225, training (test) accuracy 0.531915, cost 69.5726
step 225, training (test) accuracy 0.531915, cost 69.2768
step 225, training (test) accuracy 0.531915, cost 69.135
step 225, training (test) accuracy 0.531915, cost 70.4245
step 250, training (test) accuracy 0.553191, cost 84.4715
step 250, training (test) accuracy 0.553191, cost 83.2813
step 250, training (test) accuracy 0.553191, cost 80.8026
step 250, training (test) accuracy 0.595745, cost 82.3191
step 275, training (test) accuracy 0.531915, cost 80.6497
step 275, training (test) accuracy 0.531915, cost 83.5907
step 275, training (test) accuracy 0.553191, cost 86.3039
step 275, training (test) accuracy 0.531915, cost 87.2181
step 300, training (test) accuracy 0.595745, cost 104.695
step 300, training (test) accuracy 0.574468, cost 103.855
step 300, training (test) accuracy 0.553191, cost 103.073
step 300, training (test) accuracy 0.531915, cost 103.198
step 325, training (test) accuracy 0.574468, cost 81.648
step 325, training (test) accuracy 0.595745, cost 82.7521
step 325, training (test) accuracy 0.595745, cost 83.1123
