I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: Tesla K20m
major: 3 minor: 5 memoryClockRate (GHz) 0.7055
pciBusID 0000:03:00.0
Total memory: 4.69GiB
Free memory: 4.61GiB
W tensorflow/stream_executor/cuda/cuda_driver.cc:572] creating context when one is currently active; existing: 0x24ff2720
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 1 with properties: 
name: Tesla K20m
major: 3 minor: 5 memoryClockRate (GHz) 0.7055
pciBusID 0000:83:00.0
Total memory: 4.69GiB
Free memory: 4.61GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 0 to device ordinal 1
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 1 to device ordinal 0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 1 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y N 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 1:   N Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla K20m, pci bus id: 0000:03:00.0)
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:1) -> (device: 1, name: Tesla K20m, pci bus id: 0000:83:00.0)
W tensorflow/core/common_runtime/bfc_allocator.cc:213] Ran out of memory trying to allocate 2.29GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory is available.
W tensorflow/core/common_runtime/bfc_allocator.cc:213] Ran out of memory trying to allocate 2.30GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory is available.


Running with stride 2 and seed 3000
(1, 196, 117660)
(156, 117660)
7872
(?, 600)
(?, 100)
started learning...
step 0, training (test) accuracy 0.025, cost 62245
step 0, training (test) accuracy 0.225, cost 44265
step 0, training (test) accuracy 0.2, cost 34521
step 0, training (test) accuracy 0.175, cost 26152.7
step 25, training (test) accuracy 0.025, cost 52.2755
step 25, training (test) accuracy 0.025, cost 51.9109
step 25, training (test) accuracy 0.025, cost 50.9546
step 25, training (test) accuracy 0.025, cost 50.7215
step 50, training (test) accuracy 0.05, cost 2.88456
step 50, training (test) accuracy 0.05, cost 2.88469
step 50, training (test) accuracy 0.05, cost 2.88495
step 50, training (test) accuracy 0.05, cost 2.88625
step 75, training (test) accuracy 0.225, cost 2.9575
step 75, training (test) accuracy 0.225, cost 2.95747
step 75, training (test) accuracy 0.225, cost 2.95744
step 75, training (test) accuracy 0.225, cost 2.9574
step 100, training (test) accuracy 0.25, cost 2.87796
step 100, training (test) accuracy 0.25, cost 2.8779
step 100, training (test) accuracy 0.25, cost 2.87787
step 100, training (test) accuracy 0.25, cost 2.87785
step 125, training (test) accuracy 0.225, cost 2.98124
step 125, training (test) accuracy 0.225, cost 2.9812
step 125, training (test) accuracy 0.225, cost 2.98117
step 125, training (test) accuracy 0.225, cost 2.98113
step 150, training (test) accuracy 0.225, cost 2.97773
step 150, training (test) accuracy 0.225, cost 2.9777
step 150, training (test) accuracy 0.225, cost 2.97766
step 150, training (test) accuracy 0.225, cost 2.97763
step 175, training (test) accuracy 0.225, cost 2.97427
step 175, training (test) accuracy 0.225, cost 2.97423
step 175, training (test) accuracy 0.225, cost 2.9742
step 175, training (test) accuracy 0.225, cost 2.97417
step 200, training (test) accuracy 0.225, cost 2.97084
step 200, training (test) accuracy 0.225, cost 2.97081
step 200, training (test) accuracy 0.225, cost 2.97078
step 200, training (test) accuracy 0.225, cost 2.97074
step 225, training (test) accuracy 0.225, cost 2.96742
step 225, training (test) accuracy 0.225, cost 2.96739
step 225, training (test) accuracy 0.225, cost 2.96736
step 225, training (test) accuracy 0.225, cost 2.96732
step 250, training (test) accuracy 0.225, cost 2.96404
step 250, training (test) accuracy 0.225, cost 2.96401
step 250, training (test) accuracy 0.225, cost 2.96398
step 250, training (test) accuracy 0.225, cost 2.96394
step 275, training (test) accuracy 0.225, cost 2.96069
step 275, training (test) accuracy 0.225, cost 2.96066
step 275, training (test) accuracy 0.225, cost 2.96063
step 275, training (test) accuracy 0.225, cost 2.9606
step 300, training (test) accuracy 0.225, cost 2.95737
step 300, training (test) accuracy 0.225, cost 2.95734
step 300, training (test) accuracy 0.225, cost 2.95731
step 300, training (test) accuracy 0.225, cost 2.95728
step 325, training (test) accuracy 0.225, cost 2.9541
step 325, training (test) accuracy 0.225, cost 2.95407
step 325, training (test) accuracy 0.225, cost 2.95404
step 325, training (test) accuracy 0.225, cost 2.954
step 350, training (test) accuracy 0.225, cost 2.95085
step 350, training (test) accuracy 0.225, cost 2.95082
step 350, training (test) accuracy 0.225, cost 2.95079
step 350, training (test) accuracy 0.225, cost 2.95076
step 375, training (test) accuracy 0.225, cost 2.94765
step 375, training (test) accuracy 0.225, cost 2.94762
step 375, training (test) accuracy 0.225, cost 2.94759
step 375, training (test) accuracy 0.225, cost 2.94756
step 400, training (test) accuracy 0.225, cost 2.94446
step 400, training (test) accuracy 0.225, cost 2.94443
step 400, training (test) accuracy 0.225, cost 2.9444
step 400, training (test) accuracy 0.225, cost 2.94437
step 425, training (test) accuracy 0.225, cost 2.94134
step 425, training (test) accuracy 0.225, cost 2.94131
step 425, training (test) accuracy 0.225, cost 2.94128
step 425, training (test) accuracy 0.225, cost 2.94125
step 450, training (test) accuracy 0.225, cost 2.93823
step 450, training (test) accuracy 0.225, cost 2.9382
step 450, training (test) accuracy 0.225, cost 2.93817
step 450, training (test) accuracy 0.225, cost 2.93814
step 475, training (test) accuracy 0.225, cost 2.93517
step 475, training (test) accuracy 0.225, cost 2.93514
step 475, training (test) accuracy 0.225, cost 2.93512
step 475, training (test) accuracy 0.225, cost 2.93508
step 500, training (test) accuracy 0.225, cost 2.93214
step 500, training (test) accuracy 0.225, cost 2.93211
step 500, training (test) accuracy 0.225, cost 2.93209
step 500, training (test) accuracy 0.225, cost 2.93206
step 525, training (test) accuracy 0.225, cost 2.92914
step 525, training (test) accuracy 0.225, cost 2.92912
step 525, training (test) accuracy 0.225, cost 2.92909
step 525, training (test) accuracy 0.225, cost 2.92906
step 550, training (test) accuracy 0.225, cost 2.92619
step 550, training (test) accuracy 0.225, cost 2.92616
step 550, training (test) accuracy 0.225, cost 2.92613
step 550, training (test) accuracy 0.225, cost 2.9261
step 575, training (test) accuracy 0.225, cost 2.92327
step 575, training (test) accuracy 0.225, cost 2.92324
step 575, training (test) accuracy 0.225, cost 2.92321
step 575, training (test) accuracy 0.225, cost 2.92318
step 600, training (test) accuracy 0.225, cost 2.92039
step 600, training (test) accuracy 0.225, cost 2.92036
step 600, training (test) accuracy 0.225, cost 2.92033
step 600, training (test) accuracy 0.225, cost 2.9203
step 625, training (test) accuracy 0.225, cost 2.91754
step 625, training (test) accuracy 0.225, cost 2.91751
step 625, training (test) accuracy 0.225, cost 2.91749
step 625, training (test) accuracy 0.225, cost 2.91746
step 650, training (test) accuracy 0.225, cost 2.91472
step 650, training (test) accuracy 0.225, cost 2.9147
step 650, training (test) accuracy 0.225, cost 2.91467
step 650, training (test) accuracy 0.225, cost 2.91464
step 675, training (test) accuracy 0.225, cost 2.91194
step 675, training (test) accuracy 0.225, cost 2.91191
step 675, training (test) accuracy 0.225, cost 2.91189
step 675, training (test) accuracy 0.225, cost 2.91186
step 700, training (test) accuracy 0.225, cost 2.9092
step 700, training (test) accuracy 0.225, cost 2.90917
step 700, training (test) accuracy 0.225, cost 2.90915
step 700, training (test) accuracy 0.225, cost 2.90912
step 725, training (test) accuracy 0.225, cost 2.90648
step 725, training (test) accuracy 0.225, cost 2.90646
step 725, training (test) accuracy 0.225, cost 2.90643
step 725, training (test) accuracy 0.225, cost 2.90641
step 750, training (test) accuracy 0.225, cost 2.9038
step 750, training (test) accuracy 0.225, cost 2.90378
step 750, training (test) accuracy 0.225, cost 2.90375
step 750, training (test) accuracy 0.225, cost 2.90372
step 775, training (test) accuracy 0.225, cost 2.90116
step 775, training (test) accuracy 0.225, cost 2.90114
step 775, training (test) accuracy 0.225, cost 2.90111
step 775, training (test) accuracy 0.225, cost 2.90109
step 800, training (test) accuracy 0.225, cost 2.89855
step 800, training (test) accuracy 0.225, cost 2.89853
step 800, training (test) accuracy 0.225, cost 2.8985
step 800, training (test) accuracy 0.225, cost 2.89848
step 825, training (test) accuracy 0.225, cost 2.89597
step 825, training (test) accuracy 0.225, cost 2.89594
step 825, training (test) accuracy 0.225, cost 2.89592
step 825, training (test) accuracy 0.225, cost 2.89589
step 850, training (test) accuracy 0.225, cost 2.89341
step 850, training (test) accuracy 0.225, cost 2.89339
step 850, training (test) accuracy 0.225, cost 2.89337
step 850, training (test) accuracy 0.225, cost 2.89334
step 875, training (test) accuracy 0.225, cost 2.89089
step 875, training (test) accuracy 0.225, cost 2.89087
step 875, training (test) accuracy 0.225, cost 2.89085
step 875, training (test) accuracy 0.225, cost 2.89082
step 900, training (test) accuracy 0.225, cost 2.88841
step 900, training (test) accuracy 0.225, cost 2.88839
step 900, training (test) accuracy 0.225, cost 2.88837
step 900, training (test) accuracy 0.225, cost 2.88834
step 925, training (test) accuracy 0.225, cost 2.88596
step 925, training (test) accuracy 0.225, cost 2.88594
step 925, training (test) accuracy 0.225, cost 2.88592
step 925, training (test) accuracy 0.225, cost 2.88589
